"COURT_ROOM_ID","COURT_ROOM_NAME","DESCRIPTION","CREST_COURT_ROOM_NO","COURT_SITE_ID","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","OBS_IND","DISPLAY_NAME","SECURITY_IND","VIDEO_IND"
1074,"Court 4","Court 4",4,502,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 4","",""
1075,"Court 5","Court 5",5,502,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 5","",""
1076,"Court 6","Court 6",6,502,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 6","",""
1077,"Court 7","Court 7",7,502,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 7","",""
1078,"Court 8","Court 8",8,502,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 8","",""
1079,"Court 1","Court 1",1,503,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 1","",""
1080,"Court 2","Court 2",2,503,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 2","",""
1081,"Court 3","Court 3",3,503,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"","Court 3","",""
1082,"Court 1","Court 1",1,504,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 1","",""
1084,"Court 3","Court 3",3,504,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 3","",""
1085,"Court 4","Court 4",4,504,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 4","",""
1561,"Court 5","Court Room 5",5,218,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
1560,"Court 4","Court Room 4",4,218,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
1562,"Court 6","Court Room 6",6,218,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
1563,"Court 7","Court Room 7",7,218,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
1564,"Court 8","Court Room 8",8,218,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
1565,"Court 9","Court Room 9",9,218,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
1566,"Court 10","Court Room 10",10,218,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
2596,"Court 4","Court Room 4",4,103,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
2597,"Court 5","Court Room 5",5,103,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
2598,"Court 6","Court Room 6",6,103,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
2599,"Court 7","Court Room 7",7,103,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
2600,"Court 8","Court Room 8",8,103,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
2601,"Court 9","Court Room 9",9,103,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
2602,"Court 10","Court Room 10",10,103,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
