"COURT_SATELLITE_ID","COURT_SITE_ID","INTERNET_SATELLITE_NAME","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","OBS_IND"
16,1113,"WARRINGTON",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
1,460,"NEWPORT_CROWN_COURT",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
2,462,"CARMARTHEN",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
3,196,"KINGS_LYNN",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
4,88,"BARROW-IN-FURNESS",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
5,89,"LANCASTER",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
6,463,"HAVERFORDWEST",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
7,42,"SOUTHEND",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
8,262,"HEREFORD",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
9,198,"BURY_ST_EDMUNDS",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
10,310,"BARNSTAPLE",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
11,644,"CAERNARFON",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
12,647,"KNUTSFORD",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
13,643,"MOLD",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
14,645,"DOLGELLAU",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
15,646,"WELSHPOOL",16-JUL-18 15:40:05,01-APR-09 15:26:01,"XHIBIT","XHIBIT",2,"N"
