"ROTATION_SET_DD_ID","ROTATION_SET_ID","DISPLAY_DOCUMENT_ID","PAGE_DELAY","ORDERING","CREATED_BY","CREATION_DATE","LAST_UPDATED_BY","LAST_UPDATE_DATE","VERSION"
1171,555,1,9,2,"XHIBIT",01-APR-09 15:25:56,"qco43k",01-APR-09 15:25:56,1
1397,662,3,15,2,"XHIBIT",01-APR-09 15:25:56,"dcc24u",01-APR-09 15:25:56,1
1398,662,8,15,4,"XHIBIT",01-APR-09 15:25:56,"dcc24u",01-APR-09 15:25:56,1
170,79,8,9,1,"XHIBIT",01-APR-09 15:25:56,"dch74i",01-APR-09 15:25:56,1
519,245,8,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
874,416,3,7,2,"XHIBIT",01-APR-09 15:25:56,"tct68y",01-APR-09 15:25:56,1
875,416,5,9,1,"XHIBIT",01-APR-09 15:25:56,"tct68y",01-APR-09 15:25:56,1
1379,652,8,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1735,768,8,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1754,777,6,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1755,777,1,10,5,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1756,777,8,10,7,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1757,777,5,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1758,777,3,10,3,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1759,777,2,10,4,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1760,777,4,10,6,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1810,792,1,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
118,56,1,20,1,"XHIBIT",01-APR-09 15:25:56,"mci68f",01-APR-09 15:25:56,1
280,130,1,8,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
120,56,3,10,2,"XHIBIT",01-APR-09 15:25:56,"mci68f",01-APR-09 15:25:56,1
183,86,8,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
184,86,5,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
281,130,2,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
383,179,1,15,2,"XHIBIT",01-APR-09 15:25:56,"scn77d",01-APR-09 15:25:56,1
384,179,2,15,1,"XHIBIT",01-APR-09 15:25:56,"scn77d",01-APR-09 15:25:56,1
498,235,3,20,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
499,235,5,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
500,236,1,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1842,801,4,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1843,801,1,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1844,801,2,10,3,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1845,801,3,10,4,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1846,801,6,10,5,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1847,801,5,10,6,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1848,801,8,10,7,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1849,802,1,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1850,802,2,20,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1851,803,3,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1852,804,6,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1853,805,5,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1854,805,3,20,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1855,806,4,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1856,807,5,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1857,808,3,5,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1858,809,3,8,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1859,810,4,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1860,810,3,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1861,810,5,10,3,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
501,236,2,20,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
502,237,6,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
503,238,5,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
504,239,4,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
505,240,3,20,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
506,241,1,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
507,241,2,10,3,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
508,241,3,10,4,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
509,241,4,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
510,241,5,10,6,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
511,241,6,10,5,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
512,241,8,10,7,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
801,382,8,10,1,"XHIBIT",01-APR-09 15:25:56,"ycq73i",01-APR-09 15:25:56,1
1086,521,5,6,1,"XHIBIT",01-APR-09 15:25:56,"kcf72c",01-APR-09 15:25:56,1
1623,742,15,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1400,663,8,10,2,"XHIBIT",01-APR-09 15:25:56,"mco24q",01-APR-09 15:25:56,1
1423,675,5,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1424,675,3,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1624,742,10,10,7,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1625,742,9,10,5,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1626,742,4,10,4,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1627,742,11,10,9,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1628,742,1,10,6,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1629,742,5,10,14,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1630,742,6,10,12,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1631,742,8,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1632,742,12,10,3,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1633,742,2,10,8,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1634,742,13,10,13,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1635,742,14,10,11,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1636,742,3,10,10,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1798,787,14,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1799,787,6,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1800,788,13,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1801,788,5,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1802,788,11,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1803,788,3,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1804,789,13,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1805,789,5,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1806,789,11,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
1807,789,3,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
65,7,8,10,7,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
66,14,8,10,7,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
67,21,8,10,7,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
620,293,8,10,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
621,294,8,8,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
622,294,3,8,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
445,208,8,10,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
619,293,5,8,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
805,385,4,8,1,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
806,385,5,8,2,"XHIBIT",01-APR-09 15:25:56,"XHIBIT",01-APR-09 15:25:56,1
